trait,gamma,gene,Start (MB),seed1,seed2,seed3,seed4,seed5
age_first_birth,1.0,IP6K1,49.764554,1.4551779115024033e-08,1.4665743064412595e-08,1.4998926989306938e-08,1.5710905243437878e-08,1.3206473026272647e-08
age_first_birth,1.0,MAD1L1,1.855705,2.666381581528654e-06,2.6671386839094424e-06,2.667045467807938e-06,2.6659147406293826e-06,2.6625804769864203e-06
age_first_birth,0.1,COL7A1,48.601838,2.774651937764716e-06,2.7648950577940923e-06,2.571575403398363e-06,2.7450973941745005e-06,2.816045916009813e-06
age_first_birth,10.0,TRAIP,49.866535,2.9345303964589675e-11,6.381994932525004e-11,5.882871967344272e-11,3.691058569899042e-11,4.3796077875413175e-11
age_first_birth,0.01,SORCS3,106.401085,7.715180642353658e-06,7.699596514698648e-06,7.691001538967512e-06,7.7207815278868e-06,7.731713028591436e-06
age_first_birth,0.1,FOXP2,114.066566,5.92160982026968e-07,5.930217304994656e-07,6.241219239200291e-07,6.125217245633863e-07,5.954447737099855e-07
age_first_birth,0.01,KCNH1,210.856622,2.1272989878529103e-06,2.114546001297235e-06,2.1229480940965217e-06,2.1222949520005585e-06,2.130069900241338e-06
age_first_birth,0.1,ZSWIM6,60.628099,2.815904209807485e-07,2.7682352476965377e-07,2.7639091115805314e-07,2.731988477666647e-07,2.8322692857685183e-07
age_first_birth,0.001,BARD1,215.593399,9.093616189281839e-06,9.097690150783322e-06,9.108629626108922e-06,9.084180636831363e-06,9.097396761692522e-06
age_first_birth,0.1,WDR87,38.375571,4.374216480140802e-06,4.578708057811909e-06,4.140431739796391e-06,4.74470118683179e-06,3.941601647849957e-06
age_first_birth,1.0,ARHGAP12,32.096585,8.206397205112737e-07,8.682305973062299e-07,8.267114879334514e-07,8.355459282238797e-07,8.302185841024823e-07
age_first_birth,1.0,CDHR4,49.828264,2.4250368380052123e-10,1.839054464269907e-10,2.1378709913477678e-10,2.2239277086555376e-10,1.9334556178307594e-10
age_first_birth,10.0,ARIH2,48.964991,5.996978567068822e-07,6.135739204493618e-07,8.075579827071522e-07,7.974978192271109e-07,6.789730647716041e-07
age_first_birth,1.0,RBM6,50.000074,2.956930546638148e-06,3.0276067901624515e-06,2.9631076738922957e-06,2.7709720168411778e-06,2.9531975191954274e-06
age_first_birth,0.1,BSN,49.592035,8.054923921752e-06,8.11232915598481e-06,8.099940305816844e-06,8.166115723406975e-06,8.228979466728958e-06
ala_at,0.1,PIK3AP1,98.355333,1.0570425699185648e-06,1.0691089858960723e-06,1.0668933734248043e-06,1.0651494575242282e-06,1.0720472993774877e-06
ala_at,0.001,PKD2L1,102.048152,1e-14,1e-14,1e-14,1e-14,1e-14
ala_at,0.1,ABCG8,44.066192,2.327027459614328e-13,2.339239912885205e-13,2.298161660974074e-13,2.2148949341271873e-13,2.199351811782435e-13
ala_at,1.0,SKIV2L,31.926969,3.4431957285363524e-10,3.494806666282102e-10,3.4763969480877677e-10,3.4378078161978465e-10,3.749243138173597e-10
ala_at,0.01,ANPEP,90.328579,8.424372310855688e-13,8.58202398035246e-13,8.564260411958458e-13,8.677503160470224e-13,8.575362642204709e-13
ala_at,0.1,AFF1,87.869685,1e-14,1e-14,1e-14,1e-14,1e-14
ala_at,0.01,SOS2,50.585061,1e-14,1e-14,1e-14,1.021405182655144e-14,1e-14
ala_at,10.0,LSM2,31.765533,7.203193479465853e-07,7.557645211875297e-07,5.976578553168466e-07,7.123897034500004e-07,7.880455145103937e-07
ala_at,1.0,NPTN,73.85425,1.2558399360429462e-06,1.2840683096815297e-06,1.2737009760233065e-06,1.1248686360154636e-06,1.2523601811142981e-06
ala_at,0.001,MCL1,150.549839,2.284838984678572e-13,2.2315482794965646e-13,2.274846977456946e-13,2.2670754162845697e-13,2.2959412149248237e-13
ala_at,0.1,BAZ1A,35.222713,2.862842378714703e-06,3.118453932748899e-06,3.0786388557357824e-06,2.951616140500768e-06,2.9242641806925818e-06
ala_at,10.0,BAZ2A,56.992401,4.24711361646235e-06,4.147434806256456e-06,4.942417290099144e-06,3.952520848615748e-06,5.048906670968023e-06
ala_at,0.01,HNF4A,42.984444,8.534434897899956e-06,8.416068226990703e-06,8.346057864261347e-06,8.385393016174802e-06,8.519109163440675e-06
ala_at,0.001,SUMO1,203.071975,2.521565014568239e-07,2.5205103337810897e-07,2.50815370139712e-07,2.5002624659542505e-07,2.515977116646084e-07
ala_at,10.0,SLC10A6,87.74484,2.7075586017666353e-07,2.781566100784616e-07,2.8464082768575594e-07,2.2176959801889495e-07,3.343746155515248e-07
ala_at,10.0,U2SURP,142.72047,7.243969281089946e-06,6.618737385055695e-06,6.996616759513685e-06,7.195065456655492e-06,6.578858028349899e-06
ala_at,1.0,PMFBP1,72.153236,5.27167465236289e-09,5.419110937765481e-09,5.483182352605809e-09,5.377524203709072e-09,5.266916458523951e-09
ala_at,0.1,HEATR7A,145.218729,1.024527085391469e-08,1.203722344023106e-08,1.15537031053492e-08,1.0278789819295753e-08,9.481890606011234e-09
ala_at,0.001,DFNB31,117.165033,1e-14,1e-14,1e-14,1e-14,1e-14
ala_at,0.1,CASP10,202.0505,4.181773681777301e-07,5.039570615261724e-07,4.7294625982186034e-07,4.386742133988264e-07,4.2488053653144675e-07
ala_at,0.1,FCHSD2,72.549835,7.143273852427967e-07,7.021790000560912e-07,7.14533531787076e-07,7.086630722241694e-07,7.006730902148206e-07
ala_at,1.0,MPHOSPH9,123.641353,1.4033168574956179e-06,1.3658039472730366e-06,1.418426217925095e-06,1.3771854929789384e-06,1.5912430874065464e-06
ala_at,0.001,ZNF827,146.686135,1e-14,1e-14,1e-14,1e-14,1e-14
ala_at,10.0,CYHR1,145.675761,7.609857188839442e-11,8.667577766630075e-11,8.160483400132534e-11,7.73917596674778e-11,7.736844498396067e-11
ala_at,0.1,ZNF90,20.188941,1.56035342979699e-07,1.71778304469683e-07,1.9240477522330934e-07,1.857280309547349e-07,1.459192213726368e-07
ala_at,0.1,RNF213,78.23748,9.886846291440321e-06,9.847912677773962e-06,9.840428204510587e-06,9.829365474112173e-06,9.890070796991779e-06
ala_at,0.001,YAP1,101.981579,6.283299042397772e-06,6.286563683732815e-06,6.285637008662803e-06,6.290224757510288e-06,6.292340887670278e-06
ala_at,0.1,WWTR1,149.238591,8.174365628832447e-08,8.196206413568774e-08,8.195844825031884e-08,8.199169121425598e-08,8.197662859643629e-08
ala_at,0.001,STAG1,136.057095,1e-14,1e-14,1e-14,1e-14,1e-14
ala_at,1.0,TSFM,58.176584,1.281835835253986e-06,1.1069542389385845e-06,1.280322727170713e-06,1.2881791144891963e-06,1.3067213615602924e-06
ala_at,0.1,NOTCH4,32.163213,7.174035309143179e-07,7.199002383107e-07,7.18841624891553e-07,7.189880896207868e-07,7.168165814253058e-07
ala_at,10.0,ARHGAP39,145.755805,7.41029460016307e-12,6.353362280719921e-12,4.831246513958831e-12,6.391109863557176e-12,6.908473793032499e-12
ala_at,0.01,ATP8B1,55.315719,3.352873534367973e-14,3.8191672047105385e-14,3.47499806707674e-14,3.2862601528904634e-14,3.375077994860476e-14
ala_at,0.1,ABCB11,169.780131,3.017974758989794e-11,3.0194846623032845e-11,3.005573567804731e-11,2.977107449453342e-11,3.0075275603280716e-11
ala_at,1.0,PDE4C,18.321738,9.723044591680718e-11,1.0878542511250089e-10,9.899348007991193e-11,1.604673061095241e-10,1.1525624898922615e-10
ala_at,10.0,TJP3,3.728373,1.1526013476981234e-10,1.1735179494820613e-10,1.1805312283286185e-10,1.129059068460947e-10,1.1825662671327564e-10
ala_at,10.0,RREB1,7.182144,7.124293669447113e-07,7.040675557012932e-07,7.052247481542651e-07,6.968496815140668e-07,6.959885687773948e-07
ala_at,0.001,TONSL,145.654525,1e-14,1e-14,1e-14,1e-14,1e-14
ala_at,0.01,TSEN54,73.512641,3.3283828504426793e-07,3.230816918442514e-07,3.264805804592541e-07,3.0722998856091976e-07,3.164019076740132e-07
ala_at,0.001,ZNF101,19.779772,1e-14,1e-14,1e-14,1e-14,1e-14
