Trait,CHR,pStart,pEnd,Gene,pval_fastKAST
age_first_birth,3,49768927,49771943,IP6K1,1.4551779115024033e-08
age_first_birth,3,49831058,49834571,CDHR4,2.4250368380052123e-10
age_first_birth,3,49868804,49869243,TRAIP,2.9345303964589675e-11
ala_at,1,2164823,2237020,SKI,3.558023342620231e-08
ala_at,1,16451767,16481366,EPHA2,1.0177525489041273e-11
ala_at,1,16525657,16535487,ARHGEF19,1e-14
ala_at,1,16577794,16641797,FBXO42,6.72795152922845e-14
ala_at,1,27027651,27093657,ARID1A,1.1131159327604223e-09
ala_at,1,27278023,27278573,C1orf172,1.0499232372396252e-08
ala_at,1,150550924,150551327,MCL1,2.284838984678572e-13
ala_at,1,155160556,155162067,MUC1,5.044284989708102e-10
ala_at,1,220970028,220985677,MOSC1,1e-14
ala_at,10,70851106,70861937,SRGN,1.2176637476102314e-10
ala_at,10,70982461,71025852,HKDC1,1e-14
ala_at,10,79557402,79682918,DLG5,1e-14
ala_at,10,101544088,101611294,ABCC2,1e-14
ala_at,10,101636917,101729881,DNMBP,1e-14
ala_at,10,101953275,101968237,CHUK,2.4594770664521093e-12
ala_at,10,101993033,102006625,CWF19L1,9.501954778556863e-12
ala_at,10,102048208,102089663,PKD2L1,1e-14
ala_at,10,113921889,113939693,GPAM,5.0935181739042434e-08
ala_at,11,93755963,93836266,HEPHL1,1e-14
ala_at,11,93862493,93913036,PANX1,1e-14
ala_at,11,94114673,94131557,GPR83,4.2088554863539684e-13
ala_at,12,50901882,51130360,DIP2B,2.1365606506229543e-08
ala_at,12,112869780,112935344,PTPN11,1.3483680838533019e-10
ala_at,12,121579024,121622304,P2RX7,9.07451669363013e-10
ala_at,12,122462356,122494845,BCL7A,1e-14
ala_at,12,122760524,122864920,CLIP1,1.5720125201568178e-10
ala_at,12,123902892,123919969,RILPL2,1.96979363931149e-08
ala_at,14,50603986,50696798,SOS2,1e-14
ala_at,14,51196657,51280387,NIN,2.0240020770501133e-08
ala_at,14,94642417,94742263,PPP4R4,2.018829547978385e-12
ala_at,14,94844843,94849201,SERPINA1,1e-14
ala_at,15,39893702,40041348,FSIP1,4.051961099982293e-09
ala_at,15,73746905,73850580,C15orf60,2.9740581775072883e-08
ala_at,15,90333851,90349461,ANPEP,8.424372310855689e-13
ala_at,16,53749128,54137949,FTO,1.2656542480726783e-14
ala_at,16,71682830,71710428,PHLPP2,1.1156631174458198e-12
ala_at,16,72158477,72199122,PMFBP1,5.271674652362891e-09
ala_at,17,7221197,7225425,NEURL4,2.8680348762577523e-08
ala_at,17,36048823,36103727,HNF1B,9.723999383481896e-12
