Trait,CHR,pStart,pEnd,Gene,pval_skat
ala_at,1,150550924,150551327,MCL1,8.2543496855462e-14
ala_at,10,101544088,101611294,ABCC2,1.529577978021e-51
ala_at,10,101636917,101729881,DNMBP,3.88659891810592e-24
ala_at,10,101953275,101968237,CHUK,7.471680712799029e-11
ala_at,10,101993033,102006625,CWF19L1,1.26471849342068e-11
ala_at,10,102048208,102089663,PKD2L1,2.39431477573298e-16
ala_at,11,93862493,93913036,PANX1,2.67252137290411e-08
ala_at,11,94114673,94131557,GPR83,3.6098705541818e-11
ala_at,14,50603986,50696798,SOS2,2.97040557765973e-22
ala_at,14,50715642,50778816,L2HGDH,4.75883419189479e-17
ala_at,14,94642417,94742263,PPP4R4,4.691514312518731e-15
ala_at,14,94844843,94849201,SERPINA1,9.11309953313896e-50
ala_at,17,7129898,7134129,DVL2,3.5807733914629e-10
ala_at,17,7221197,7225425,NEURL4,4.66978798963069e-08
ala_at,17,64208285,64222164,APOH,3.17431197814757e-24
ala_at,17,64304804,64796272,PRKCA,1.17518933029303e-12
ala_at,19,18326191,18329784,PDE4C,2.0827452922508e-17
ala_at,19,19155672,19168228,ARMC6,5.864489274184539e-13
ala_at,19,19329924,19353979,NCAN,7.07864185238322e-13
ala_at,19,19432416,19455864,MAU2,2.36772107959958e-31
ala_at,19,20208036,20223681,ZNF90,6.2886116203309e-08
ala_at,2,44066247,44102197,ABCG8,7.71585079085384e-09
ala_at,2,169788429,169869901,ABCB11,3.57317945600322e-12
ala_at,22,44322922,44341300,PNPLA3,5.91612742912758e-62
ala_at,22,44355693,44391686,SAMM50,4.49788379904415e-36
ala_at,22,44395451,44562756,PARVB,2.46056451068546e-14
ala_at,6,30599702,30601067,ATAT1,5.60507156244228e-08
ala_at,6,31132649,31138107,POU5F1,2.41796004097565e-09
ala_at,6,31469468,31477681,MICB,3.75423800935692e-08
ala_at,6,31513402,31514247,ATP6V1G2,2.69488841242449e-08
ala_at,6,31655438,31669496,ABHD16A,9.40571618440901e-09
ala_at,6,31850332,31864674,EHMT2,6.41639659593235e-10
ala_at,6,31928148,31937037,SKIV2L,8.290577389847488e-11
ala_at,6,32085278,32093922,ATF6B,3.45521965483542e-08
ala_at,8,145220414,145276643,HEATR7A,6.77061565287218e-11
ala_at,8,145661675,145667079,TONSL,2.27490536729246e-33
ala_at,8,145678363,145689667,CYHR1,3.82723897018877e-08
ala_at,8,145729727,145730330,GPT,1.56353676089049e-87
ala_at,8,145948440,145972950,ZNF251,9.10959463938533e-14
ala_at,9,117122615,117141946,AKNA,5.5423474722017e-20
ala_at,9,117166206,117266965,DFNB31,4.07919187041672e-11
albumin,1,155148520,155152545,TRIM46,2.29372583322101e-10
albumin,1,178075351,178434852,RASAL2,1.10153635458869e-09
albumin,12,47167837,47182531,SLC38A4,3.26747283674322e-08
albumin,14,94642417,94742263,PPP4R4,2.92721556355803e-72
albumin,14,94844843,94849201,SERPINA1,2.1885869250642906e-201
albumin,15,42683787,42703356,CAPN3,3.67353097925883e-17
albumin,15,43818079,43820717,MAP1A,3.26252287396098e-59
albumin,15,44856015,44944037,SPG11,7.47620776168092e-21
