Trait,CHR,pStart,pEnd,Gene,pval_fastKAST,pval_skat
ala_at,1,150550924,150551327,MCL1,2.284838984678572e-13,8.2543496855462e-14
ala_at,10,101544088,101611294,ABCC2,1e-14,1.529577978021e-51
ala_at,10,101636917,101729881,DNMBP,1e-14,3.88659891810592e-24
ala_at,10,101953275,101968237,CHUK,2.4594770664521093e-12,7.471680712799029e-11
ala_at,10,101993033,102006625,CWF19L1,9.501954778556863e-12,1.26471849342068e-11
ala_at,10,102048208,102089663,PKD2L1,1e-14,2.39431477573298e-16
ala_at,11,93862493,93913036,PANX1,1e-14,2.67252137290411e-08
ala_at,11,94114673,94131557,GPR83,4.2088554863539684e-13,3.6098705541818e-11
ala_at,14,50603986,50696798,SOS2,1e-14,2.97040557765973e-22
ala_at,14,94642417,94742263,PPP4R4,2.018829547978385e-12,4.691514312518731e-15
ala_at,14,94844843,94849201,SERPINA1,1e-14,9.11309953313896e-50
ala_at,17,7221197,7225425,NEURL4,2.8680348762577523e-08,4.66978798963069e-08
ala_at,17,64208285,64222164,APOH,6.946332398172217e-12,3.17431197814757e-24
ala_at,19,18326191,18329784,PDE4C,9.723044591680717e-11,2.0827452922508e-17
ala_at,19,19155672,19168228,ARMC6,1e-14,5.864489274184539e-13
ala_at,19,19329924,19353979,NCAN,1e-14,7.07864185238322e-13
ala_at,19,19432416,19455864,MAU2,1e-14,2.36772107959958e-31
ala_at,2,44066247,44102197,ABCG8,2.327027459614328e-13,7.71585079085384e-09
ala_at,2,169788429,169869901,ABCB11,3.0179747589897936e-11,3.57317945600322e-12
ala_at,22,44322922,44341300,PNPLA3,1e-14,5.91612742912758e-62
ala_at,22,44355693,44391686,SAMM50,1e-14,4.49788379904415e-36
ala_at,22,44395451,44562756,PARVB,1e-14,2.46056451068546e-14
ala_at,6,31513402,31514247,ATP6V1G2,7.12346883702253e-08,2.69488841242449e-08
ala_at,6,31850332,31864674,EHMT2,2.1035828634552442e-10,6.41639659593235e-10
ala_at,6,31928148,31937037,SKIV2L,3.4431957285363524e-10,8.290577389847488e-11
